questions,answers
?,Xorn
?,Leon
?,Muffin
?,Masuro
?,woolite
?,rouge
?,selfmade
?,aa
?,an
?,ff
?,gg
?,hi
?,jo
?,ko
?,ss
?,ln
?,mr
?,as
?,ms
?,no
?,qq
?,rt
?,ty
?,uv
?,ww
?,xx
?,yo
?,zz
?,ki
?,go
?,wow
?,dmg
?,ratio
?,nehmen
?,flehen
?,ramen
?,pushen
?,league
?,of
?,legends
auch mc effect,speed
?,missle
?,schach
?,chess
?,Pulverize
?,Headbutt
?,Trample
?,Lacerate
?,Despair
?,Tantrum
?,Rebirth
?,frostbite
?,Pyromania
?,Volley
?,Hawkshot
?,Arise
?,Overdrive
?,Sear
?,Pyroclasm
?,Hookshot
?,Miasma
?,Carnivore
?,Rupture
?,Feast
?,Valkyrie
?,Decimate
?,Apprehend
?,Moonfall
?,Cocoon
?,Terrify
?,Reap
?,Crowstorm
?,Lunge
?,Riposte
?,Bladework
?,Playful
?,Trickster
?,Parrrley
?,serpents
?,Courage
?,Judgment
?,Hyper
?,hop
?,Quickdraw
?,Warpath
?,Rampage
?,Daisy
?,Tailwind
?,Zephyr
?,Monsoon
?,Cataclysm
?,Whisper
?,Zap
?,Footwork
?,Sentinel
?,Rend
?,Inspire
?,Defile
?,Requiem
?,Riftwalk
?,Voracity
?,Shunpo
?,Leap
?,evolved
?,evolve
?,Jousting
?,Chaaarge
?,Mimic
?,Flurry
?,Safeguard
?,Sunlight
?,Eclipse
?,Swirlseed
?,Whimsy
?,Meditate
?,Rebuttal
?,Strut
mc mob/effect,Wither
auch mc effect,Riptide
?,Prowl
?,Bushwhack
omen ability,Paranoia
?,Consume
?,Undertow
?,Ragnarok
?,Audacity
?,Harrier
mc block,Vault
?,Skystrike
?,Powerball
?,Burrow
?,Leverage
?,Handshake
?,Bailout
?,Slice
?,dice
?,Dominus
?,Savagery
?,Valor
?,Overload
?,Flair
?,Encore
?,Haymaker
?,Backstab
?,Deceive
?,Burnout
?,Fling
?,Ricochet
?,Upheaval
?,Impale
?,Achooo
?,MMOOMMM
?,Crescendo
?,Salvation
?,Starcall
?,Equinox
?,Wish
?,Nevermove
?,Abscond
?,Hijack
reyna ability,Devour
?,Rake
?,Bravado
?,Bastion
?,Dazzle
?,Damnation
?,Chomp
?,Flay
?,Subjugate
?,Bloodlust
?,Ambush
?,ratatat
?,Purge
?,Disdain
?,Tumble
?,Condemn
?,Cyclone
?,guard
?,Zoomies
?,mega
?,inferno
?,Rewind
?,mystic
?,shot
?,grasping
?,roots
?,maiden
?,magical
?,Journey
?,cosmic
?,Ardent
?,Culling
mc block,ice
?,frozen
?,tomb
?,curtain
?,call
?,skaarl
?,willump
?,darkin
?,blade
?,infernal
?,chains
?,world
dragon,ender
?,poros
?,follower
?,lor
?,card
?,unit
?,spell
?,landmark
?,fast
?,attach
?,attune
?,augment
?,brash
?,deathless
?,elusive
?,fated
?,fearsome
?,fury
?,hallowed
?,lurk
?,overwhelm
?,quick
?,attack
?,tough
?,ephermal
?,curse
?,fleeting
?,gloom
?,immobile
?,battle
?,battles
?,foxes
?,fire
?,perfect
?,execution
?,will
?,tibbers
?,twofolf
?,hex
?,surge
stay behind...,me
?,gaze
?,gatling
?,spinning
?,last
?,caress
?,essence
?,flux
?,shift
?,trueshot
?,barrage
?,keg
?,final
?,spark
?,glacial
?,prison
Command: ,Protect
?,Sky
?,Splitter
?,mist
?,Lay
?,Waste
?,triumph
?,precision
?,sorcery
?,resolve
press the attack,pta
?,lethal
?,tempo
?,fleet
?,Conqueror
Presence of ,Mind
Legend: ,Alacrity
Legend: /mc effect,Haste
Legend: ,Bloodline
Coup de ,Grace
?,Down
brewing (mc),Stand
?,Harvest
Hail of ,Blades
?,Cheap
?,Sudden
?,Sixth
?,Sense
?,Grisly
?,Mementos
... Hunter,Treasure
... Hunter,relentless
?,aery
?,comet
?,phase
?,Axiom
?,arcanist
?,Manaflow
?,Band
?,Nimbus
?,Celerity
?,Absolute
?,Focus
?,Scorch
?,Gathering
?,Storm
?,grasp
?,Demolish
?,Bash
?,Second
mc,bone
?,Plating
?,Unsealed
?,Spellbook
?,First
?,Strike
?,Footwear
?,Cash
?,Back
?,Triple
?,Tonic
?,Biscuit
?,Delivery
?,Insight
?,Approach
?,Velocity
?,resist
?,stopwatch
?,Short
?,Fuse
river,Renek
river,pilt
?,kench
?,Divine
?,Celestial
?,Blessing
?,Starfire
?,Solar
mc items,Golden
?,Reaping
?,Slash
?,Shadow
?,Step
?,Umbral
?,Trespass
?,Lightning
?,Slicing
?,Maelstrom
?,Unseen
?,Threat
?,Mounting
?,Dread
?,Caustic
?,Spittle
?,Ooze
?,Living
?,Artillery
?,Surging
?,Tides
?,Aqua
?,Tidal
?,Wave
?,Eater
?,Siphoning
?,ancient
?,Blow
?,Depth
?,Blooming
?,Pop
?,Blossom
?,Javelin
?,Toss
?,Primal
?,Joy
?,Unending
?,Formless
?,Jubilant
?,Veil
?,Umbra
mc item,Snowball
?,epic
?,rare
?,common
?,beekeeper
?,surfer
?,Dunkin
?,Nagaak
?,Buhru
?,Avarosa
?,Serylda
?,spatula
?,ruination
?,meeps
?,meep
lol lore,semchul
lol lore,Axiomata
lol lore,Aliay
lol Lore,Rygann
?,valoran
?,tft
?,fluffball
?,dagger
?,tear
?,alune
?,flandre
?,shanks
?,kael
?,elk
?,necrit
?,cull
?,bowser
?,google
?,bib
?,berlin
?,tokyo
?,namibia
?,dominion
?,twisted
?,treeline
bodyguard of jarvan iii,tianna
?,blg
?,al
?,fnc
?,koi
?,geng
?,hle
?,cfo
?,flyquest
?,gam
?,ig
?,dunk
?,reg
?,sidelane
?,splitten
?,forfeit
?,opera
?,dog
?,cat
?,kutcher
?,karni
?,broeki
?,thunny
?,sola
?,maxim
?,tolkin
?,vedius
?,skjoz
mc item/proplayer/Gangplank,barrel
?,pikachu
?,bisa
?,heuler
?,misty
?,ash
?,Ketchum
?,Rocko
?,banned
?,nifum
?,shiggy
?,liandrys
kumpel von jimmy neutron,sheen
arcane hersteller,fortiche
?,violet
?,silco
?,sevika
?,vander
?,claggor
?,maddie
?,mylo
missfortuen pistols,ave
?,merdada
?,kiramman
?,talis
?,reveck
?,corin
?,bolbok
?,cassandra
?,chross
?,elora
?,finn
?,isha
?,marcus
?,margot
?,rictus
?,smeech
?,tobias
?,cinder
?,silver
mc,emerald
?,noobs
?,eisen
?,diamant
?,Norra
?,bastighg
?,suedkorea
?,LCK
?,LCS
?,china
?,lpl
?,pros
?,fountain
?,net
?,fountains
?,pull
?,pulls
?,hit
?,hits
?,dodge
?,dodges
?,sidestep
?,sidesteps
?,leaver
?,pew
?,shop
?,steelcaps
?,plated
?,king
?,queen
?,pawn
?,bauer
?,bishop
?,lauefer
?,rook
?,aids
?,cancer
?,aram
valo map,abyss
?,canon
?,canons
?,leg
?,legs
?,ranged
?,champs
?,champ
?,spirits
?,soloQ
?,duoQ
?,solo
?,duo
?,pentakill
?,penta
?,quadra
?,season
?,yordle
?,troll
?,Ixaocan
?,Yunalai
?,Qiqi
?,Ohmlatl
?,Inessa
?,Mara
?,nobility
?,Bayal
?,augments
?,malik
?,raven
?,vesani
auch mc mob,warden
?,enforcer
?,exalted
?,peaker
?,elohell
?,lowelo
?,highelo
?,yiril
?,phil
?,jonas
?,felix
?,pg
?,gulls
?,gull
?,destro
?,destru
?,fl
?,tl
?,gx
?,kc
?,mkoi
?,sk
?,bds
?,th
?,vit
?,edg
?,fpx
?,jdg
?,drx
?,fearx
?,diable
?,clozer
?,kellin
?,clear
?,stomp
?,stompen
?,fifteen
?,early
?,late
?,mejias
?,steal
?,huge
?,lost
mc block,observer
?,watchers
?,watcher
?,garrison
?,stifle
?,flee
?,backtrack
?,fortify
?,rally
?,promote
?,blasting
?,Chilling
?,vanish
?,Castle
?,warp
?,naruto
?,ruffy
?,backport
?,port
?,only
?,unicorn
?,blocked
?,msi
?,worlds
?,winner
möwe franz.,mouette
möwe franz.,mouettes
möwe ital.,gabbiano
möwe ital.,gabbiani
möwe span.,gaviota
möwe span.,gaviotas
?,seagull
?,seagulls
?,Moewen
?,teams
?,tryhard
?,brain
?,brains
?,tryhards
?,FennX
?,Arminovic
?,Ballisto
?,wtf
?,hella
?,mad
?,madlife
?,shit
?,dude
?,connected
?,what
?,flex
?,einnA
?,ehsA
?,xaJ
?,elyaK
?,anagroM
?,unuN
?,ezyR
?,noiS
?,riviS
?,akaroS
?,omeeT
?,anatsirT
?,kciwraW
?,degniS
?,naeliZ
?,nnylevE
?,hctiwT
?,suhtraK
?,umumA
?,aivinA
?,summaR
?,ragieV
?,nidassaK
?,knalpgnaG
?,ciraT
?,odnuMrD
?,annaJ
?,etihplaM
?,ikroC
?,anirataK
?,susaN
?,ocahS
?,rydU
?,eeladiN
?,yppoP
?,sagarG
?,noehtnaP
?,laerzE
?,nehS
?,nenneK
?,neraG
?,ilakA
?,rahazlaM
?,falO
?,oahZniX
?,rimidalV
?,oilaG
?,togrU
?,anoS
?,niawS
?,xuL
?,cnalBeL
?,ailerI
?,eldnurT
?,nyltiaC
?,notkeneR
?,amraK
?,iakoaM
?,VInavraJ
?,enrutcoN
?,niSeeL
?,dnarB
?,elbmuR
?,enyaV
?,annairO
?,kciroY
?,anoeL
?,gnokuW
?,renrakS
?,nolaT
?,neviR
?,htareX
?,sevarG
?,anavyhS
?,zziF
?,raebiloV
?,irhA
?,rotkiV
?,inaujeS
?,sggiZ
?,sulituaN
?,aroiF
?,uluL
?,miraceH
?,suraV
?,suiraD
?,nevarD
?,ecyaJ
?,aryZ
?,anaiD
?,ragneR
?,ardnyS
?,esilE
?,deZ
?,imaN
?,hserhT
?,nniuQ
?,caZ
?,ardnassiL
?,xortaA
?,naicuL
?,xniJ
?,ousaY
?,muarB
?,rizA
?,atsilaK
?,iaSkeR
?,draB
?,okkE
?,derdniK
?,ioallI
?,nihJ
?,hayilaT
?,delK
?,nrevI
?,ellimaC
?,nakaR
?,hayaX
?,nyaK
?,nnrO
?,eoZ
?,ekyP
?,okeeN
?,salyS
?,imuuY
?,anayiQ
?,anneS
?,soilehpA
?,tteS
?,ailliL
?,enoY
?,arimaS
?,enihpareS
?,lleR
?,ogeiV
?,newG
?,nahskA
?,xeV
?,ireZ
?,haliNv
?,oiliM
?,irifaaN
?,rairB
?,iewH
?,redlomS
?,aroruA
?,assebmA
?,leM
?,renata
?,glasc
?,aurelion
?,sol
?,Cithria
?,rarity
?,tencent
?,Felicia
?,Gert
?,Lest
?,Scar
?,hoskel
?,ren
?,thieram
?,jules
?,huck
?,benzo
?,amara
?,babette
?,Warriors
?,Rise
?,gods
?,zedd
?,python
?,java
?,html
?,oracle
?,dead
?,deadlock
?,gekko
?,awp
?,kampfmesser
?,nebula
?,dissipate
?,cripple
?,displacement
?,concuss
lol rune,aftershock
?,flashpoint
?,incendiary
?,trademark
?,headhunter
?,deterrent
?,empowerment
?,molotov
?,Autonomous
?,deployable
?,equip
?,equipment
?,clove
?,iso
?,tejo
?,vyse
?,waylay
?,meddle
?,cage
?,cyber
?,cyperpunk
?,tether
?,prowler
?,seize
?,nearsight
?,wingman
?,cascade
?,cove
?,Contingency
?,undercut
?,limiter
?,cloudburst
?,updraft
?,nanoswarm
?,alarmbot
?,leer
?,regrowth
?,trailblazer
?,Razorvine
?,shear
?,saturate
?,lightspeed
?,fakeout
?,blindside
?,Rendezvous
?,ruse
?,spycam
?,gravnet
?,haunt
?,dizzy
?,curveball
?,dismiss
?,refract
?,gatecrash
?,Annihilation
?,nightfall
?,thrash
?,reckoning
?,lockdown
ähnlich zu sett ult,showstopper
?,empress
?,resurrection
?,seekers
?,armageddon
?,outlaw
?,controllers
?,controller
?,duelists
?,initiators
?,sentinels
?,sidearms
?,sidearm
?,SMG
?,smgs
?,shotgun
?,shotguns
?,rifles
?,rifle
?,corrode
?,golf
?,friends
?,with
?,your
